"CT School Day SAT, 2015-16"
"All Districts, All Subjects, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","Y",32,30,93.8,30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","Y",32,30,93.8,30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELA","Y",91,80,87.9,80,30,37.5,18,22.5,32,40.0,0,0.0,32,40.0,452
"Ansonia School District","=""0020011""","ELA","N",60,58,96.7,58,"*","*",17,29.3,30,51.7,"*","*","*","*",509
"Ansonia School District","=""0020011""","Math","Y",91,80,87.9,80,42,52.5,28,35.0,10,12.5,0,0.0,10,12.5,423
"Ansonia School District","=""0020011""","Math","N",60,58,96.7,58,"*","*",22,37.9,19,32.8,"*","*","*","*",482
"Area Cooperative Educational Services","=""2440014""","ELA","Y",30,19,63.3,18,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Math","Y",30,19,63.3,16,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","Y",35,33,94.3,32,"*","*",8,25.0,12,37.5,"*","*","*","*",520
"Avon School District","=""0040011""","ELA","N",214,212,99.1,211,"*","*","*","*",90,42.7,110,52.1,200,94.8,621
"Avon School District","=""0040011""","Math","Y",35,33,94.3,33,"*","*",11,33.3,9,27.3,"*","*","*","*",481
"Avon School District","=""0040011""","Math","N",214,212,99.1,211,"*","*",33,15.6,92,43.6,"*","*","*","*",622
"Berlin School District","=""0070011""","ELA","Y",48,44,91.7,44,11,25.0,"*","*",22,50.0,"*","*","*","*",482
"Berlin School District","=""0070011""","ELA","N",188,186,98.9,186,"*","*",28,15.1,124,66.7,"*","*","*","*",544
"Berlin School District","=""0070011""","Math","Y",48,44,91.7,44,17,38.6,19,43.2,"*","*","*","*",8,18.2,456
"Berlin School District","=""0070011""","Math","N",188,186,98.9,186,"*","*",67,36.0,85,45.7,"*","*","*","*",541
"Bethel School District","=""0090011""","ELA","Y",52,45,86.5,45,11,24.4,"*","*",20,44.4,"*","*","*","*",487
"Bethel School District","=""0090011""","ELA","N",150,149,99.3,149,"*","*",12,8.1,98,65.8,"*","*","*","*",560
"Bethel School District","=""0090011""","Math","Y",52,45,86.5,45,14,31.1,15,33.3,"*","*","*","*",16,35.6,474
"Bethel School District","=""0090011""","Math","N",150,149,99.3,149,"*","*",42,28.2,78,52.3,"*","*","*","*",548
"Bloomfield School District","=""0110011""","ELA","Y",80,76,95.0,76,28,36.8,"*","*",29,38.2,"*","*","*","*",449
"Bloomfield School District","=""0110011""","ELA","N",93,90,96.8,90,"*","*",22,24.4,43,47.8,"*","*","*","*",483
"Bloomfield School District","=""0110011""","Math","Y",80,76,95.0,76,28,36.8,41,53.9,7,9.2,0,0.0,7,9.2,436
"Bloomfield School District","=""0110011""","Math","N",93,90,96.8,90,21,23.3,52,57.8,"*","*","*","*",17,18.9,469
"Bolton School District","=""0120011""","ELA","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","ELA","N",57,57,100.0,57,"*","*","*","*","*","*","*","*","*","*",578
"Bolton School District","=""0120011""","Math","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Math","N",57,57,100.0,57,"*","*","*","*","*","*","*","*","*","*",543
"Branford School District","=""0140011""","ELA","Y",89,83,93.3,83,28,33.7,"*","*",28,33.7,"*","*","*","*",460
"Branford School District","=""0140011""","ELA","N",167,162,97.0,162,"*","*",30,18.5,80,49.4,"*","*","*","*",549
"Branford School District","=""0140011""","Math","Y",89,83,93.3,83,36,43.4,33,39.8,"*","*","*","*",14,16.9,443
"Branford School District","=""0140011""","Math","N",167,162,97.0,162,"*","*",70,43.2,46,28.4,"*","*","*","*",526
"Bridgeport Achievement First District","=""2850013""","ELA","Y",28,27,96.4,26,"*","*","*","*","*","*","*","*","*","*",508
"Bridgeport Achievement First District","=""2850013""","ELA","N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Math","Y",28,27,96.4,27,"*","*","*","*","*","*",0,0.0,"*","*",494
"Bridgeport Achievement First District","=""2850013""","Math","N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","ELA","Y",1185,1022,86.2,1022,456,44.6,268,26.2,269,26.3,29,2.8,298,29.2,438
"Bridgeport School District","=""0150011""","Math","Y",1185,1022,86.2,1020,516,50.6,402,39.4,86,8.4,16,1.6,102,10.0,422
"Bristol School District","=""0170011""","ELA","Y",243,221,90.9,221,56,25.3,51,23.1,100,45.2,14,6.3,114,51.6,478
"Bristol School District","=""0170011""","ELA","N",337,333,98.8,333,14,4.2,53,15.9,221,66.4,45,13.5,266,79.9,539
"Bristol School District","=""0170011""","Math","Y",243,221,90.9,221,68,30.8,108,48.9,"*","*","*","*",45,20.4,461
"Bristol School District","=""0170011""","Math","N",337,333,98.8,333,"*","*",150,45.0,123,36.9,"*","*","*","*",512
"Brookfield School District","=""0180011""","ELA","Y",42,41,97.6,41,"*","*",12,29.3,18,43.9,"*","*","*","*",487
"Brookfield School District","=""0180011""","ELA","N",186,182,97.8,182,0,0.0,"*","*",114,62.6,"*","*","*","*",583
"Brookfield School District","=""0180011""","Math","Y",42,41,97.6,41,"*","*",21,51.2,6,14.6,"*","*","*","*",462
"Brookfield School District","=""0180011""","Math","N",186,182,97.8,182,"*","*",60,33.0,90,49.5,"*","*","*","*",560
"Brooklyn School District","=""0190011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","ELA","Y",25,25,100.0,25,"*","*","*","*",13,52.0,"*","*","*","*",503
