"CT School Day SAT, 2015-16"
"All Districts, All Subjects, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA",32,30,93.8,30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Achievement First Hartford Academy Inc. District","=""2880013""","Math",32,30,93.8,30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""","ELA",45,44,97.8,44,6,13.6,"*","*",28,63.6,"*","*","*","*",515
"Amistad Academy District","=""2790013""","Math",45,44,97.8,44,11,25.0,23,52.3,"*","*","*","*",10,22.7,470
"Ansonia School District","=""0020011""","ELA",151,138,91.4,138,37,26.8,"*","*",62,44.9,"*","*","*","*",476
"Ansonia School District","=""0020011""","Math",151,138,91.4,138,58,42.0,50,36.2,"*","*","*","*",30,21.7,448
"Area Cooperative Educational Services","=""2440014""","ELA",30,19,63.3,18,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Math",30,19,63.3,16,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA",249,245,98.4,243,8,3.3,16,6.6,102,42.0,117,48.1,219,90.1,607
"Avon School District","=""0040011""","Math",249,245,98.4,244,13,5.3,44,18.0,101,41.4,86,35.2,187,76.6,603
"Berlin School District","=""0070011""","ELA",236,230,97.5,230,22,9.6,38,16.5,146,63.5,24,10.4,170,73.9,532
"Berlin School District","=""0070011""","Math",236,230,97.5,230,31,13.5,86,37.4,92,40.0,21,9.1,113,49.1,525
"Bethel School District","=""0090011""","ELA",202,194,96.0,194,19,9.8,22,11.3,118,60.8,35,18.0,153,78.9,543
"Bethel School District","=""0090011""","Math",202,194,96.0,194,26,13.4,57,29.4,91,46.9,20,10.3,111,57.2,531
"Bloomfield School District","=""0110011""","ELA",173,166,96.0,166,49,29.5,"*","*",72,43.4,"*","*","*","*",468
"Bloomfield School District","=""0110011""","Math",173,166,96.0,166,49,29.5,93,56.0,"*","*","*","*",24,14.5,454
"Bolton School District","=""0120011""","ELA",67,67,100.0,67,6,9.0,6,9.0,40,59.7,15,22.4,55,82.1,555
"Bolton School District","=""0120011""","Math",67,67,100.0,67,12,17.9,23,34.3,22,32.8,10,14.9,32,47.8,516
"Branford School District","=""0140011""","ELA",256,245,95.7,245,40,16.3,52,21.2,108,44.1,45,18.4,153,62.4,519
"Branford School District","=""0140011""","Math",256,245,95.7,245,57,23.3,103,42.0,58,23.7,27,11.0,85,34.7,498
"Bridgeport Achievement First District","=""2850013""","ELA",36,35,97.2,34,"*","*","*","*",25,73.5,"*","*","*","*",515
"Bridgeport Achievement First District","=""2850013""","Math",36,35,97.2,35,7,20.0,14,40.0,14,40.0,0,0.0,14,40.0,489
"Bridgeport School District","=""0150011""","ELA",1185,1022,86.2,1022,456,44.6,268,26.2,269,26.3,29,2.8,298,29.2,438
"Bridgeport School District","=""0150011""","Math",1185,1022,86.2,1020,516,50.6,402,39.4,86,8.4,16,1.6,102,10.0,422
"Bristol School District","=""0170011""","ELA",580,554,95.5,554,70,12.6,104,18.8,321,57.9,59,10.6,380,68.6,515
"Bristol School District","=""0170011""","Math",580,554,95.5,554,107,19.3,258,46.6,163,29.4,26,4.7,189,34.1,492
"Brookfield School District","=""0180011""","ELA",228,223,97.8,223,9,4.0,25,11.2,132,59.2,57,25.6,189,84.8,565
"Brookfield School District","=""0180011""","Math",228,223,97.8,223,16,7.2,81,36.3,96,43.0,30,13.5,126,56.5,542
"Brooklyn School District","=""0190011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","ELA",117,116,99.1,116,7,6.0,12,10.3,63,54.3,34,29.3,97,83.6,571
"Canton School District","=""0230011""","Math",117,116,99.1,116,14,12.1,36,31.0,48,41.4,18,15.5,66,56.9,545
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA",28,28,100.0,28,14,50.0,"*","*","*","*",0,0.0,"*","*",416
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math",28,28,100.0,28,16,57.1,"*","*","*","*",0,0.0,"*","*",419
"Capitol Region Education Council","=""2410014""","ELA",526,487,92.6,487,96,19.7,117,24.0,189,38.8,85,17.5,274,56.3,506
"Capitol Region Education Council","=""2410014""","Math",526,487,92.6,487,157,32.2,213,43.7,86,17.7,31,6.4,117,24.0,469
"Cheshire School District","=""0250011""","ELA",391,374,95.7,374,19,5.1,36,9.6,219,58.6,100,26.7,319,85.3,567
"Cheshire School District","=""0250011""","Math",391,374,95.7,374,32,8.6,107,28.6,153,40.9,82,21.9,235,62.8,562
"Clinton School District","=""0270011""","ELA",129,125,96.9,125,11,8.8,23,18.4,68,54.4,23,18.4,91,72.8,535
"Clinton School District","=""0270011""","Math",129,125,96.9,124,"*","*",58,46.8,36,29.0,"*","*","*","*",475
"Colchester School District","=""0280011""","ELA",200,194,97.0,194,16,8.2,29,14.9,112,57.7,37,19.1,149,76.8,549
"Colchester School District","=""0280011""","Math",200,194,97.0,193,24,12.4,86,44.6,68,35.2,15,7.8,83,43.0,512
"Columbia School District","=""0300011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","ELA",42,39,92.9,39,16,41.0,"*","*",12,30.8,"*","*","*","*",462
"Common Ground High School District","=""2680013""","Math",42,39,92.9,39,18,46.2,17,43.6,"*","*","*","*","*","*",427
"Connecticut Technical High School System","=""9000016""","ELA",2498,2445,97.9,2445,595,24.3,767,31.4,995,40.7,88,3.6,1083,44.3,469
"Connecticut Technical High School System","=""9000016""","Math",2498,2445,97.9,2444,840,34.4,1255,51.4,331,13.5,18,0.7,349,14.3,446
"Cooperative Educational Services","=""2430014""","ELA",13,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Math",13,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA",131,128,97.7,128,10,7.8,22,17.2,74,57.8,22,17.2,96,75.0,538
"Coventry School District","=""0320011""","Math",131,128,97.7,128,"*","*",50,39.1,52,40.6,"*","*","*","*",513
"Cromwell School District","=""0330011""","ELA",150,146,97.3,146,23,15.8,18,12.3,82,56.2,23,15.8,105,71.9,529
"Cromwell School District","=""0330011""","Math",150,146,97.3,146,24,16.4,55,37.7,55,37.7,12,8.2,67,45.9,509
"Danbury School District","=""0340011""","ELA",673,642,95.4,642,179,27.9,134,20.9,258,40.2,71,11.1,329,51.2,485
"Danbury School District","=""0340011""","Math",673,642,95.4,641,225,35.1,258,40.2,125,19.5,33,5.1,158,24.6,462
"Darien School District","=""0350011""","ELA",331,312,94.3,312,7,2.2,10,3.2,130,41.7,165,52.9,295,94.6,619
"Darien School District","=""0350011""","Math",331,312,94.3,312,8,2.6,43,13.8,118,37.8,143,45.8,261,83.7,626
"Derby School District","=""0370011""","ELA",90,86,95.6,86,30,34.9,29,33.7,"*","*","*","*",27,31.4,446
"Derby School District","=""0370011""","Math",90,86,95.6,86,43,50.0,30,34.9,13,15.1,0,0.0,13,15.1,431
"East Granby School District","=""0400011""","ELA",63,62,98.4,62,7,11.3,9,14.5,28,45.2,18,29.0,46,74.2,553
"East Granby School District","=""0400011""","Math",63,62,98.4,62,"*","*",23,37.1,22,35.5,"*","*","*","*",515
"East Haddam School District","=""0410011""","ELA",82,79,96.3,78,10,12.8,8,10.3,47,60.3,13,16.7,60,76.9,532
"East Haddam School District","=""0410011""","Math",82,79,96.3,78,20,25.6,37,47.4,"*","*","*","*",21,26.9,481
"East Hampton School District","=""0420011""","ELA",134,129,96.3,129,6,4.7,22,17.1,75,58.1,26,20.2,101,78.3,549
"East Hampton School District","=""0420011""","Math",134,129,96.3,129,23,17.8,49,38.0,49,38.0,8,6.2,57,44.2,509
"East Hartford School District","=""0430011""","ELA",491,449,91.4,449,145,32.3,108,24.1,170,37.9,26,5.8,196,43.7,467
"East Hartford School District","=""0430011""","Math",491,449,91.4,447,153,34.2,203,45.4,77,17.2,14,3.1,91,20.4,456
"East Haven School District","=""0440011""","ELA",230,215,93.5,215,57,26.5,51,23.7,89,41.4,18,8.4,107,49.8,481
"East Haven School District","=""0440011""","Math",230,215,93.5,215,82,38.1,94,43.7,32,14.9,7,3.3,39,18.1,450
"East Lyme School District","=""0450011""","ELA",260,256,98.5,256,10,3.9,26,10.2,144,56.3,76,29.7,220,85.9,575
"East Lyme School District","=""0450011""","Math",260,256,98.5,256,25,9.8,79,30.9,98,38.3,54,21.1,152,59.4,552
"East Windsor School District","=""0470011""","ELA",69,66,95.7,65,10,15.4,14,21.5,35,53.8,6,9.2,41,63.1,501
"East Windsor School District","=""0470011""","Math",69,66,95.7,65,"*","*",31,47.7,18,27.7,"*","*","*","*",477
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA",85,72,84.7,72,19,26.4,12,16.7,33,45.8,8,11.1,41,56.9,488
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math",85,72,84.7,72,35,48.6,28,38.9,9,12.5,0,0.0,9,12.5,429
"Education Connection","=""2420014""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA",204,203,99.5,203,19,9.4,29,14.3,121,59.6,34,16.7,155,76.4,540
"Ellington School District","=""0480011""","Math",204,203,99.5,203,23,11.3,80,39.4,76,37.4,24,11.8,100,49.3,528
"Elm City College Preparatory School District","=""2890013""","ELA",34,33,97.1,33,9,27.3,"*","*",16,48.5,"*","*","*","*",479
"Elm City College Preparatory School District","=""2890013""","Math",34,33,97.1,33,"*","*",19,57.6,7,21.2,"*","*","*","*",478
"Enfield School District","=""0490011""","ELA",363,346,95.3,346,55,15.9,85,24.6,179,51.7,27,7.8,206,59.5,500
"Enfield School District","=""0490011""","Math",363,346,95.3,346,75,21.7,156,45.1,97,28.0,18,5.2,115,33.2,487
"Explorations District","=""2720013""","ELA",23,21,91.3,21,"*","*",10,47.6,"*","*","*","*","*","*",479
"Explorations District","=""2720013""","Math",23,21,91.3,21,"*","*",11,52.4,"*","*",0,0.0,"*","*",440
"Fairfield School District","=""0510011""","ELA",736,713,96.9,713,50,7.0,60,8.4,385,54.0,218,30.6,603,84.6,572
"Fairfield School District","=""0510011""","Math",736,713,96.9,713,55,7.7,206,28.9,325,45.6,127,17.8,452,63.4,557
"Farmington School District","=""0520011""","ELA",313,300,95.8,300,20,6.7,28,9.3,144,48.0,108,36.0,252,84.0,576
"Farmington School District","=""0520011""","Math",313,300,95.8,300,25,8.3,91,30.3,100,33.3,84,28.0,184,61.3,568
"Franklin School District","=""0530011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","ELA",495,483,97.6,483,22,4.6,49,10.1,274,56.7,138,28.6,412,85.3,570
"Glastonbury School District","=""0540011""","Math",495,483,97.6,483,31,6.4,117,24.2,204,42.2,131,27.1,335,69.4,581
"Granby School District","=""0560011""","ELA",156,151,96.8,151,9,6.0,16,10.6,83,55.0,43,28.5,126,83.4,565
"Granby School District","=""0560011""","Math",156,151,96.8,151,7,4.6,49,32.5,70,46.4,25,16.6,95,62.9,555
"Greenwich School District","=""0570011""","ELA",647,617,95.4,617,48,7.8,68,11.0,281,45.5,220,35.7,501,81.2,575
"Greenwich School District","=""0570011""","Math",647,617,95.4,617,57,9.2,164,26.6,188,30.5,208,33.7,396,64.2,575
"Griswold School District","=""0580011""","ELA",134,125,93.3,125,21,16.8,23,18.4,63,50.4,18,14.4,81,64.8,515
"Griswold School District","=""0580011""","Math",134,125,93.3,125,"*","*",63,50.4,37,29.6,"*","*","*","*",486
"Groton School District","=""0590011""","ELA",258,240,93.0,240,35,14.6,49,20.4,114,47.5,42,17.5,156,65.0,522
"Groton School District","=""0590011""","Math",258,240,93.0,240,51,21.3,104,43.3,63,26.3,22,9.2,85,35.4,499
"Guilford School District","=""0600011""","ELA",258,254,98.4,254,9,3.5,20,7.9,139,54.7,86,33.9,225,88.6,587
"Guilford School District","=""0600011""","Math",258,254,98.4,253,19,7.5,73,28.9,115,45.5,46,18.2,161,63.6,561
"Hamden School District","=""0620011""","ELA",415,375,90.4,374,56,15.0,74,19.8,179,47.9,65,17.4,244,65.2,519
"Hamden School District","=""0620011""","Math",415,375,90.4,374,88,23.5,163,43.6,94,25.1,29,7.8,123,32.9,489
"Hartford School District","=""0640011""","ELA",1329,1163,87.5,1162,522,44.9,244,21.0,328,28.2,68,5.9,396,34.1,449
"Hartford School District","=""0640011""","Math",1329,1163,87.5,1161,579,49.9,410,35.3,136,11.7,36,3.1,172,14.8,430
"Highville Charter School District","=""2860013""","ELA",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Math",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","ELA",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Math",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","ELA",193,173,89.6,173,26,15.0,27,15.6,110,63.6,10,5.8,120,69.4,506
"Killingly School District","=""0690011""","Math",193,173,89.6,173,46,26.6,94,54.3,"*","*","*","*",33,19.1,464
"Learn","=""2450014""","ELA",195,186,95.4,186,40,21.5,30,16.1,78,41.9,38,20.4,116,62.4,516
"Learn","=""2450014""","Math",195,186,95.4,185,43,23.2,80,43.2,52,28.1,10,5.4,62,33.5,483
"Lebanon School District","=""0710011""","ELA",83,83,100.0,83,6,7.2,6,7.2,60,72.3,11,13.3,71,85.5,547
"Lebanon School District","=""0710011""","Math",83,83,100.0,83,6,7.2,33,39.8,31,37.3,13,15.7,44,53.0,541
"Ledyard School District","=""0720011""","ELA",209,199,95.2,199,24,12.1,38,19.1,101,50.8,36,18.1,137,68.8,527
"Ledyard School District","=""0720011""","Math",209,199,95.2,199,32,16.1,85,42.7,57,28.6,25,12.6,82,41.2,515
"Litchfield School District","=""0740011""","ELA",78,74,94.9,74,7,9.5,10,13.5,41,55.4,16,21.6,57,77.0,544
"Litchfield School District","=""0740011""","Math",78,74,94.9,74,9,12.2,23,31.1,33,44.6,9,12.2,42,56.8,530
"Madison School District","=""0760011""","ELA",303,296,97.7,296,7,2.4,13,4.4,165,55.7,111,37.5,276,93.2,597
"Madison School District","=""0760011""","Math",303,296,97.7,296,16,5.4,74,25.0,133,44.9,73,24.7,206,69.6,578
"Manchester School District","=""0770011""","ELA",401,352,87.8,352,101,28.7,72,20.5,153,43.5,26,7.4,179,50.9,479
"Manchester School District","=""0770011""","Math",401,352,87.8,352,125,35.5,155,44.0,60,17.0,12,3.4,72,20.5,454
"Meriden School District","=""0800011""","ELA",510,479,93.9,478,173,36.2,110,23.0,165,34.5,30,6.3,195,40.8,462
"Meriden School District","=""0800011""","Math",510,479,93.9,477,246,51.6,166,34.8,"*","*","*","*",65,13.6,423
"Middletown School District","=""0830011""","ELA",304,285,93.8,285,70,24.6,61,21.4,127,44.6,27,9.5,154,54.0,492
"Middletown School District","=""0830011""","Math",304,285,93.8,283,88,31.1,122,43.1,66,23.3,7,2.5,73,25.8,466
"Milford School District","=""0840011""","ELA",485,452,93.2,452,37,8.2,74,16.4,280,61.9,61,13.5,341,75.4,533
"Milford School District","=""0840011""","Math",485,452,93.2,451,66,14.6,221,49.0,138,30.6,26,5.8,164,36.4,502
"Monroe School District","=""0850011""","ELA",279,270,96.8,270,21,7.8,29,10.7,146,54.1,74,27.4,220,81.5,562
"Monroe School District","=""0850011""","Math",279,270,96.8,269,25,9.3,78,29.0,122,45.4,44,16.4,166,61.7,552
"Montville School District","=""0860011""","ELA",144,137,95.1,136,19,14.0,23,16.9,80,58.8,14,10.3,94,69.1,515
"Montville School District","=""0860011""","Math",144,137,95.1,135,25,18.5,59,43.7,44,32.6,7,5.2,51,37.8,500
"Naugatuck School District","=""0880011""","ELA",312,291,93.3,291,82,28.2,70,24.1,127,43.6,12,4.1,139,47.8,473
"Naugatuck School District","=""0880011""","Math",312,291,93.3,288,113,39.2,118,41.0,"*","*","*","*",57,19.8,448
"New Britain School District","=""0890011""","ELA",546,471,86.3,471,249,52.9,102,21.7,106,22.5,14,3.0,120,25.5,427
"New Britain School District","=""0890011""","Math",546,471,86.3,471,256,54.4,162,34.4,39,8.3,14,3.0,53,11.3,421
"New Canaan School District","=""0900011""","ELA",328,319,97.3,319,6,1.9,6,1.9,170,53.3,137,42.9,307,96.2,607
"New Canaan School District","=""0900011""","Math",328,319,97.3,319,8,2.5,43,13.5,151,47.3,117,36.7,268,84.0,609
"New Fairfield School District","=""0910011""","ELA",227,227,100.0,227,15,6.6,21,9.3,130,57.3,61,26.9,191,84.1,564
"New Fairfield School District","=""0910011""","Math",227,227,100.0,227,28,12.3,92,40.5,84,37.0,23,10.1,107,47.1,523
"New Haven School District","=""0930011""","ELA",1313,1147,87.4,1145,444,38.8,253,22.1,389,34.0,59,5.2,448,39.1,455
"New Haven School District","=""0930011""","Math",1313,1147,87.4,1145,517,45.2,475,41.5,126,11.0,27,2.4,153,13.4,432
"New London School District","=""0950011""","ELA",192,170,88.5,170,67,39.4,44,25.9,46,27.1,13,7.6,59,34.7,453
"New London School District","=""0950011""","Math",192,170,88.5,170,77,45.3,55,32.4,28,16.5,10,5.9,38,22.4,445
"New Milford School District","=""0960011""","ELA",311,302,97.1,302,29,9.6,47,15.6,173,57.3,53,17.5,226,74.8,539
"New Milford School District","=""0960011""","Math",311,302,97.1,302,36,11.9,126,41.7,104,34.4,36,11.9,140,46.4,526
"Newington School District","=""0940011""","ELA",308,300,97.4,300,26,8.7,54,18.0,163,54.3,57,19.0,220,73.3,535
"Newington School District","=""0940011""","Math",308,300,97.4,300,36,12.0,125,41.7,111,37.0,28,9.3,139,46.3,522
"Newtown School District","=""0970011""","ELA",424,403,95.0,403,14,3.5,32,7.9,236,58.6,121,30.0,357,88.6,577
"Newtown School District","=""0970011""","Math",424,403,95.0,403,25,6.2,114,28.3,188,46.7,76,18.9,264,65.5,562
"North Branford School District","=""0990011""","ELA",155,154,99.4,154,25,16.2,30,19.5,79,51.3,20,13.0,99,64.3,510
