district,% behind ela 2015-16,% behind ela 2016-17,% behind math 2015-16,% behind math 2016-17,% goal ela 2015-16,% goal ela 2016-17,% goal math 2015-16,% goal math 2016-17,avg score ela 2015-16,avg score ela 2016-17,avg score math 2015-16,avg score math 2016-17,num tested ela 2015-16,num tested ela 2016-17,num tested math 2015-16,num tested math 2016-17,math score diff,ela score diff,math % goal diff,ela % goal diff
Achievement First Hartford Academy Inc. District,*,*,*,*,*,*,*,*,529,488,537,494,30,39,30,39,-43.0,-41.0,,
Amistad Academy District,13.6,*,25.0,21.3,*,*,22.7,19.1,515,511,470,467,44,48,44,48,-3.0,-4.0,-3.6,
Ansonia School District,26.8,29.9,42.0,45.2,*,49.6,21.7,16.7,476,478,448,444,138,127,138,127,-4.0,2.0,-5.0,
Area Cooperative Educational Services,*,*,*,*,*,*,*,*,*,*,*,*,19,15,19,15,,,,
Avon School District,3.3,5.0,5.3,4.6,90.1,88.3,76.6,79.1,607,603,603,611,245,282,245,282,8.0,-4.0,2.5,-1.8
Berlin School District,9.6,11.6,13.5,12.5,73.9,73.1,49.1,45.4,532,534,525,523,230,216,230,216,-2.0,2.0,-3.7,-0.8
Bethel School District,9.8,7.2,13.4,9.3,78.9,77.8,57.2,47.9,543,547,531,526,194,194,194,194,-5.0,4.0,-9.3,-1.1
Bloomfield School District,29.5,22.1,29.5,29.9,*,46.1,14.5,14.9,468,475,454,450,166,154,166,154,-4.0,7.0,0.4,
Bolton School District,9.0,7.6,17.9,17.7,82.1,81.0,47.8,49.4,555,562,516,521,67,79,67,79,5.0,7.0,1.6,-1.1
Branford School District,16.3,12.1,23.3,18.6,62.4,70.2,34.7,42.8,519,524,498,508,245,215,245,215,10.0,5.0,8.1,7.8
Bridgeport Achievement First District,*,*,20.0,23.5,*,*,40.0,23.5,515,508,489,471,35,34,35,34,-18.0,-7.0,-16.5,
Bridgeport School District,44.6,42.9,50.6,47.3,29.2,34.8,10.0,15.9,438,449,422,431,1022,1143,1022,1143,9.0,11.0,5.9,5.6
Bristol School District,12.6,19.4,19.3,21.8,68.6,62.1,34.1,31.0,515,508,492,484,554,552,554,552,-8.0,-7.0,-3.1,-6.5
Brookfield School District,4.0,*,7.2,5.3,84.8,87.0,56.5,59.9,565,570,542,554,223,207,223,207,12.0,5.0,3.4,2.2
Brooklyn School District,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,,,
Canton School District,6.0,*,12.1,5.2,83.6,92.2,56.9,67.8,571,611,545,572,116,115,116,115,27.0,40.0,10.9,8.6
Capital Preparatory Harbor School Inc. District,50.0,39.4,57.1,51.5,*,33.3,*,*,416,448,419,419,28,33,28,33,0.0,32.0,,
Capitol Region Education Council,19.7,20.7,32.2,33.9,56.3,53.8,24.0,22.8,506,499,469,465,487,550,487,550,-4.0,-7.0,-1.2,-2.5
Cheshire School District,5.1,4.0,8.6,7.7,85.3,85.9,62.8,64.8,567,573,562,563,374,326,374,326,1.0,6.0,2.0,0.6
Clinton School District,8.8,13.7,*,18.7,72.8,74.2,*,42.3,535,544,475,505,125,124,125,124,30.0,9.0,,1.4
Colchester School District,8.2,8.7,12.4,11.9,76.8,76.6,43.0,55.0,549,540,512,530,194,218,194,218,18.0,-9.0,12.0,-0.2
Columbia School District,*,,*,,*,,*,,*,,*,,*,,*,,,,,
Common Ground High School District,41.0,18.6,46.2,39.5,*,53.5,*,23.3,462,513,427,462,39,43,39,43,35.0,51.0,,
Connecticut Technical High School System,24.3,22.9,34.4,28.6,44.3,46.1,14.3,14.3,469,472,446,452,2445,2481,2445,2481,6.0,3.0,0.0,1.8
Cooperative Educational Services,*,*,*,*,*,*,*,*,*,*,*,*,10,15,10,15,,,,
Coventry School District,7.8,9.6,*,11.3,75.0,75.7,*,55.7,538,553,513,532,128,115,128,115,19.0,15.0,,0.7
Cromwell School District,15.8,10.7,16.4,12.8,71.9,79.9,45.9,52.3,529,545,509,528,146,149,146,149,19.0,16.0,6.4,8.0
Danbury School District,27.9,23.6,35.1,29.7,51.2,56.8,24.6,25.1,485,494,462,466,642,674,642,674,4.0,9.0,0.5,5.6
Darien School District,2.2,2.5,2.6,*,94.6,94.8,83.7,85.8,619,627,626,633,312,325,312,325,7.0,8.0,2.1,0.2
